Index,ID,DAY,Grupe.ID,Grupe.nr_persoane,Grupe.speciality,LANGUAGE,NO_LESSONS_IN_2_WEEKS,PAIR,Profesori.ID,Profesori.NAME,SEMESTER,SUBJECT,TYPE
29418,117,FRIDAY,,,,fr,2,1,117,Zaiden Bauer,3,Biofizica,teorie
29419,117,FRIDAY,,,,fr,2,4,117,Zaiden Bauer,3,Biofizica,teorie
29440,117,FRIDAY,,,,fr,2,3,234,Amber Brooks,3,Biofizica,lab
29441,117,FRIDAY,,,,fr,2,4,234,Amber Brooks,3,Biofizica,lab
29442,117,FRIDAY,,,,fr,2,6,234,Amber Brooks,3,Biofizica,lab
29443,117,FRIDAY,,,,fr,2,7,234,Amber Brooks,3,Biofizica,lab
16669,37,FRIDAY,,,,ro,2,3,37,Denver Arellano,1,L. Română,practica
16670,37,FRIDAY,,,,ro,2,4,37,Denver Arellano,1,L. Română,practica
16685,37,FRIDAY,,,,fr,2,3,37,Denver Arellano,1,L. Română,practica
16686,37,FRIDAY,,,,fr,2,4,37,Denver Arellano,1,L. Română,practica
28474,45,FRIDAY,,,,fr,2,1,45,Franklin Gray,3,DPI,teorie
28475,45,FRIDAY,,,,fr,2,2,45,Franklin Gray,3,DPI,teorie
28476,45,FRIDAY,,,,fr,2,5,45,Franklin Gray,3,DPI,teorie
28495,48,FRIDAY,,,,ro,2,4,48,Zola Delacruz,3,Interfețe de comunicare,teorie
28516,48,FRIDAY,,,,ro,2,1,165,Theodore Vega,3,Interfețe de comunicare,lab
28517,48,FRIDAY,,,,ro,2,2,165,Theodore Vega,3,Interfețe de comunicare,lab
28518,48,FRIDAY,,,,ro,2,3,165,Theodore Vega,3,Interfețe de comunicare,lab
28519,48,FRIDAY,,,,ro,2,4,165,Theodore Vega,3,Interfețe de comunicare,lab
28520,48,FRIDAY,,,,ro,2,5,165,Theodore Vega,3,Interfețe de comunicare,lab
28521,48,FRIDAY,,,,ro,2,6,165,Theodore Vega,3,Interfețe de comunicare,lab
28540,48,FRIDAY,,,,ru,2,4,48,Zola Delacruz,3,Interfețe de comunicare,teorie
28561,48,FRIDAY,,,,ru,2,1,165,Theodore Vega,3,Interfețe de comunicare,lab
28562,48,FRIDAY,,,,ru,2,2,165,Theodore Vega,3,Interfețe de comunicare,lab
28563,48,FRIDAY,,,,ru,2,3,165,Theodore Vega,3,Interfețe de comunicare,lab
28564,48,FRIDAY,,,,ru,2,4,165,Theodore Vega,3,Interfețe de comunicare,lab
28565,48,FRIDAY,,,,ru,2,5,165,Theodore Vega,3,Interfețe de comunicare,lab
28566,48,FRIDAY,,,,ru,2,6,165,Theodore Vega,3,Interfețe de comunicare,lab
28585,48,FRIDAY,,,,fr,2,4,48,Zola Delacruz,3,Interfețe de comunicare,teorie
28606,48,FRIDAY,,,,fr,2,1,165,Theodore Vega,3,Interfețe de comunicare,lab
28607,48,FRIDAY,,,,fr,2,2,165,Theodore Vega,3,Interfețe de comunicare,lab
28608,48,FRIDAY,,,,fr,2,3,165,Theodore Vega,3,Interfețe de comunicare,lab
28609,48,FRIDAY,,,,fr,2,4,165,Theodore Vega,3,Interfețe de comunicare,lab
28610,48,FRIDAY,,,,fr,2,5,165,Theodore Vega,3,Interfețe de comunicare,lab
28611,48,FRIDAY,,,,fr,2,6,165,Theodore Vega,3,Interfețe de comunicare,lab
28627,49,FRIDAY,,,,fr,2,1,49,Memphis Nash,3,Procese stochastice,teorie
28628,49,FRIDAY,,,,fr,2,3,49,Memphis Nash,3,Procese stochastice,teorie
28629,49,FRIDAY,,,,fr,2,4,49,Memphis Nash,3,Procese stochastice,teorie
